model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,0.0451127819548872,1.0,0.023076923076923,0.0427135678391959,1.0,0.0218228498074454,0.0451127819548872,1.0,0.023076923076923,2.919848332167914e-18,2.919848332167914e-18,2.919848332167914e-18,2.919848332167914e-18,0.0413223140495867,1.0098427450873394e+22,0.0081545447357841
pegasus,0.0877817319098458,1.0,0.0459057071960297,0.0856123662306777,1.0,0.0447204968944099,0.0877817319098458,1.0,0.0459057071960297,1.9627877446919077e-10,1.9627877446919077e-10,1.9627877446919077e-10,1.9627877446919077e-10,0.0885416666666666,852857099.1967916,0.0121171430398363
pegasus,0.1806167400881057,1.0,0.099273607748184,0.1769911504424778,1.0,0.0970873786407767,0.1806167400881057,1.0,0.099273607748184,0.0001318786576236,0.0001318786576236,0.0001318786576236,0.0001318786576236,0.1813471502590673,17777.951446795683,0.011064766539219
pegasus,0.0821917808219178,1.0,0.0428571428571428,0.0779816513761468,1.0,0.0405727923627685,0.0821917808219178,1.0,0.0428571428571428,3.696566175275053e-10,3.696566175275053e-10,3.696566175275053e-10,3.696566175275053e-10,0.0758928571428571,29796210526.261517,0.0120516499282639
pegasus,0.0124320124320124,1.0,0.0062548866301798,0.0108949416342412,1.0,0.0054773082942097,0.0124320124320124,1.0,0.0062548866301798,9.94395601663915e-59,9.94395601663915e-59,9.94395601663915e-59,9.94395601663915e-59,0.0134003350083752,2.1098747455151062e+69,0.0080266249021143
pegasus,0.1042471042471042,1.0,0.054989816700611,0.1007751937984496,1.0,0.0530612244897959,0.1042471042471042,1.0,0.054989816700611,5.602146790663732e-08,5.602146790663732e-08,5.602146790663732e-08,5.602146790663732e-08,0.0881226053639846,112499747.87122154,0.0141238429620172
pegasus,0.108433734939759,1.0,0.0573248407643312,0.1048387096774193,1.0,0.0553191489361702,0.108433734939759,1.0,0.0573248407643312,1.962666351854364e-08,1.962666351854364e-08,1.9482349816201405e-08,1.933589813308373e-08,0.0975609756097561,114949102.3390151,0.0116401057554165
pegasus,0.101010101010101,1.0,0.0531914893617021,0.0949152542372881,1.0,0.0498220640569395,0.101010101010101,1.0,0.0531914893617021,5.677004584149061e-09,5.6013111896937414e-09,5.600288305984885e-09,5.599237398064827e-09,0.0773480662983425,146128948.6786814,0.0158392434988179
pegasus,0.1571428571428571,1.0,0.0852713178294573,0.1339712918660286,0.875,0.0725388601036269,0.1476190476190476,0.9393939393939394,0.0801033591731266,1.2792305934136388e-05,1.2792305934136388e-05,1.2648572159595528e-05,1.2358668444843628e-05,0.1072961373390558,100222.8529670473,0.0158692185007974
pegasus,0.088235294117647,1.0,0.0461538461538461,0.0855457227138643,1.0,0.0446841294298921,0.088235294117647,1.0,0.0461538461538461,6.365233586617411e-10,6.365233586617411e-10,6.365233586617411e-10,6.365233586617411e-10,0.0806451612903225,6125426880.439608,0.0172818535718002
pegasus,0.2424242424242424,1.0,0.1379310344827586,0.2366412213740458,1.0,0.1341991341991342,0.2424242424242424,1.0,0.1379310344827586,0.0012374074649623,0.0012374074649623,0.0012374074649623,0.0012374074649623,0.1699346405228758,2360.58952762664,0.0117592728896315
pegasus,0.1981981981981981,1.0,0.11,0.1933534743202417,1.0,0.1070234113712374,0.1981981981981981,1.0,0.11,0.0006207293597604,0.0006207293597604,0.0006207293597604,0.0006207293597604,0.1777777777777777,6168.880927500359,0.0124158249158249
pegasus,0.0799999999999999,1.0,0.0416666666666666,0.0776942355889724,1.0,0.0404172099087353,0.0799999999999999,1.0,0.0416666666666666,4.889337005462173e-11,4.889337005462173e-11,4.889337005462173e-11,4.889337005462173e-11,0.0881458966565349,195729609428.8388,0.0095384837156829
pegasus,0.1445086705202312,1.0,0.0778816199376947,0.1395348837209302,1.0,0.075,0.1445086705202312,1.0,0.0778816199376947,9.478982616096811e-06,9.478982616096811e-06,9.478982616096811e-06,9.478982616096811e-06,0.1322751322751322,425066.114781728,0.0101234567901234
pegasus,0.1284722222222222,1.0,0.0686456400742115,0.1254355400696864,1.0,0.0669144981412639,0.1284722222222222,1.0,0.0686456400742115,8.89137136484147e-07,8.89137136484147e-07,8.89137136484147e-07,8.89137136484147e-07,0.1123188405797101,3363764.960473445,0.0126018468223791
pegasus,0.0763187429854096,1.0,0.0396732788798133,0.0742407199100112,1.0,0.0385514018691588,0.0763187429854096,1.0,0.0396732788798133,3.2075733150253913e-11,3.2075733150253913e-11,3.2075733150253913e-11,3.2075733150253913e-11,0.0805555555555555,34256523721.6908,0.0100622581187952
pegasus,0.0628166160081053,1.0,0.0324267782426778,0.0609137055837563,1.0,0.031413612565445,0.0628166160081053,1.0,0.0324267782426778,1.263801628129822e-13,1.263801628129822e-13,1.263801628129822e-13,1.263801628129822e-13,0.0517928286852589,454400461972588.25,0.0132807796237408
pegasus,0.1206030150753769,1.0,0.0641711229946524,0.1176470588235294,1.0,0.0625,0.1206030150753769,1.0,0.0641711229946524,1.3970718107437974e-06,1.3970718107437974e-06,1.3970718107437974e-06,1.3970718107437974e-06,0.1195652173913043,7926437.788703576,0.0099691675231243
pegasus,0.1588235294117647,1.0,0.0862619808306709,0.1538461538461538,1.0,0.0833333333333333,0.1588235294117647,1.0,0.0862619808306709,7.016184716504154e-05,7.016184716504154e-05,7.016184716504154e-05,7.016184716504154e-05,0.1506024096385542,81445.73976019918,0.0121664050235478
pegasus,0.0758082497212932,1.0,0.0393974507531865,0.0737430167597765,1.0,0.0382830626450116,0.0758082497212932,1.0,0.0393974507531865,6.659228190350426e-11,6.659228190350426e-11,6.659228190350426e-11,6.659228190350426e-11,0.0730478589420654,58606863254.70759,0.0105365989812295
pegasus,0.1518987341772152,1.0,0.0821917808219178,0.1446808510638297,1.0,0.0779816513761468,0.1518987341772152,1.0,0.0821917808219178,1.219742475349726e-05,1.219742475349726e-05,1.219742475349726e-05,1.219742475349726e-05,0.1287878787878787,393309.8258408968,0.0169218372280419
pegasus,0.0062893081761006,1.0,0.0031545741324921,0.0047244094488188,1.0,0.0023677979479084,0.0062893081761006,1.0,0.0031545741324921,4.654782906170917e-107,4.654782906170917e-107,4.654782906170917e-107,4.654782906170917e-107,0.0069930069930069,1.4933358541494e+135,0.0210843373493975
pegasus,0.0318471337579617,1.0,0.0161812297734627,0.0297872340425531,1.0,0.0151187904967602,0.0318471337579617,1.0,0.0161812297734627,1.369294780490869e-23,1.369294780490869e-23,1.369294780490869e-23,1.369294780490869e-23,0.0316301703163017,1.0683558901302946e+26,0.0151279199110122
pegasus,0.0701381509032943,1.0,0.0363436123348017,0.068157614483493,1.0,0.0352811466372657,0.0701381509032943,1.0,0.0363436123348017,2.453100597001453e-12,2.453100597001453e-12,2.453100597001453e-12,2.453100597001453e-12,0.0596421471172962,1976799028164.2188,0.0093129139072847
pegasus,0.0840064620355412,1.0,0.0438448566610455,0.0810372771474878,1.0,0.0422297297297297,0.0840064620355412,1.0,0.0438448566610455,3.937104381385373e-10,3.937104381385373e-10,3.937104381385373e-10,3.937104381385373e-10,0.0750853242320819,38541445279.69526,0.0179978865261459
pegasus,0.1097560975609756,1.0,0.0580645161290322,0.1070336391437308,1.0,0.0565428109854604,0.1097560975609756,1.0,0.0580645161290322,1.346274211835667e-07,1.346274211835667e-07,1.346274211835667e-07,1.346274211835667e-07,0.0975609756097561,35019954.00499299,0.0159156379214883
