model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9745560978867964,0.9493085305840296,0.9288737807983528,0.9082250545751296,0.6857142857142857,3.211270543153561,0.0314285714285714
pegasus,0.945945945945946,1.0,0.8974358974358975,0.9444444444444444,1.0,0.8947368421052632,0.945945945945946,1.0,0.8974358974358975,0.8587441360337843,0.8412187455024825,0.8279174234582126,0.8144789743825582,0.7,3.464000871972232,0.0266075388026607
pegasus,0.6071428571428571,1.0,0.4358974358974359,0.5925925925925926,1.0,0.4210526315789473,0.6071428571428571,1.0,0.4358974358974359,0.2500389398469346,0.2450381610499959,0.2424620022758154,0.239833268832774,0.3414634146341463,15.642631884188171,0.0227272727272727
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904306953846912,0.9808148633906648,0.9807205905279784,0.9806244508759318,0.85,2.8651811561836884,0.0526315789473684
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9728523691698342,0.94582869224845,0.9273919780871316,0.9086074013944678,0.6666666666666666,3.1832246912598827,0.0430622009569378
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9619818553060994,0.9244044390832048,0.8938099128040924,0.8627297591237241,0.5666666666666667,3.37836310709448,0.0372670807453416
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969233234476344,0.9384639254453492,0.9223348521629728,0.9056769568057642,0.625,3.211270543153561,0.0714285714285714
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9899498337660452,0.9798995816465929,0.9747975403920752,0.9696431705093056,0.8235294117647058,2.882977255397824,0.034313725490196
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994778079782369,0.9895424056782512,0.9895147036988644,0.9894867070175692,0.896551724137931,2.807397968560594,0.0372983870967741
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.951229424500714,0.9011647179480448,0.8983833453617854,0.8952747524712602,0.5,3.490342957461841,0.2
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891892950517396,0.9783981391057208,0.971138395507,0.96382546697349,0.8222222222222222,2.905677746882001,0.0217592592592592
pegasus,0.7857142857142858,1.0,0.6470588235294118,0.7777777777777778,1.0,0.6363636363636364,0.7857142857142858,1.0,0.6470588235294118,0.5916602593686444,0.5874341146588684,0.5788906134829902,0.5745106866333214,0.4848484848484848,5.1364574837703465,0.0404040404040404
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.718281828459045,0.375
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989847803378734,0.9796955182158752,0.9745408785842176,0.9693328229978276,0.8181818181818182,2.8781359849068946,0.0416988416988417
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989847803378734,0.9796955182158752,0.9745408785842176,0.9693328229978276,0.8181818181818182,2.912365149565017,0.0311457174638487
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9797986738537044,0.9597208321763744,0.9435098340813448,0.9271648607954476,0.6842105263157895,3.123296107503001,0.0338753387533875
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878789371893664,0.9757824604074558,0.9716842005141308,0.9675522100867044,0.825,2.961554459463227,0.0266272282423857
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9800006733734208,0.960000659631106,0.9496913741969232,0.9391673119828616,0.7222222222222222,3.080216848918031,0.0694444444444444
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989130542383741,0.9782609759839196,0.9727361135044524,0.9671498636641024,0.8125,2.893595944171761,0.0422794117647058
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9843345265646904,0.9687101690001714,0.9581554168156294,0.9474877795809852,0.7352941176470589,2.994490779427674,0.0351043643263757
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777787025014762,0.9557235437984354,0.9371916620202828,0.9185193871983566,0.6590909090909091,3.146659655666196,0.0311364815775817
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9824565942999044,0.9649906992901284,0.9517548257280324,0.9384002447797292,0.7567567567567568,3.057651259013446,0.0247678018575851
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887641638186618,0.9775282074116316,0.971813921010342,0.966033953156164,0.8064516129032258,2.9272811997550834,0.0332056194125159
pegasus,0.2857142857142857,1.0,0.1666666666666666,0.2424242424242424,1.0,0.1379310344827586,0.2857142857142857,1.0,0.1666666666666666,0.008385510525424,0.0081150101858942,0.0081059935079099,0.0080963549900646,0.125,735.0951892419727,0.0303030303030303
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9726044771163485,0.9508702988567652,0.9343559864432336,0.9176550716295492,0.7222222222222222,3.0685714304947185,0.0343980343980344
pegasus,0.9302325581395348,0.9523809523809524,0.9090909090909092,0.8780487804878048,0.9,0.8571428571428571,0.9302325581395348,0.9523809523809524,0.9090909090909092,0.9574533680683808,0.915459799293452,0.8811960201691293,0.846320387846158,0.5,3.5365719941224363,0.0394736842105263
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895288919912618,0.979057686785005,0.9737385373318268,0.968362498579684,0.8,2.9195473041282614,0.0404761904761904
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804566542694212,0.9674704734181708,0.9608475211840328,0.9541356702621886,0.8461538461538461,2.9545115270921065,0.0400641025641025
pegasus,1.0,1.0,1.0,0.935483870967742,0.935483870967742,0.935483870967742,0.96875,0.96875,0.96875,0.9899498337660452,0.9798995816465929,0.9646960114760952,0.9544131730667512,0.8529411764705882,2.893595944171761,0.0321691176470588
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9707338275109024,0.9417566983314724,0.9173434669978028,0.8926848765552519,0.5454545454545454,3.3201169227365472,0.0407407407407407
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926199598197506,0.985239885769046,0.9815085423590818,0.9777492488112148,0.85,2.85416830177539,0.0306296086216676
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9860791127053208,0.9721906744982036,0.9628225298584971,0.9533655876392676,0.7837837837837838,2.9769791874949707,0.0286195286195286
pegasus,0.3783783783783783,1.0,0.2333333333333333,0.3428571428571428,1.0,0.2068965517241379,0.3783783783783783,1.0,0.2333333333333333,0.0337461518005503,0.0318178002690903,0.03076855017109,0.0296557091580593,0.1290322580645161,244.6919322642204,0.0353535353535353
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9931271749133768,0.9862304584209228,0.9861822296342624,0.9861333215689164,0.8636363636363636,2.857651118063164,0.0476190476190476
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830512566676516,0.9661020970699334,0.9574064412763216,0.9485582301179094,0.7142857142857143,3.0200191061144728,0.0576441102756892
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9890111002051832,0.9780220879806812,0.9724354951738114,0.9667861316612464,0.8125,2.9195473041282614,0.0321428571428571
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867551618071956,0.97351012607824,0.9667533679867796,0.9599046812138023,0.7692307692307693,2.9545115270921065,0.0448717948717948
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9882354306130864,0.976470723105788,0.9704826983266238,0.9644225286706024,0.8064516129032258,2.9272811997550834,0.0332056194125159
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836515932942932,0.9673479757258794,0.9563279379250073,0.9451847712101586,0.7333333333333333,3.037731777517483,0.0382716049382716
pegasus,0.1176470588235294,0.6666666666666666,0.064516129032258,0.0625,0.5,0.0333333333333333,0.1176470588235294,0.6666666666666666,0.064516129032258,0.0001783827656887,0.0001486523047406,0.0001259172463685,0.0001003403056999,0.074074074074074,30740.40934396602,0.032258064516129
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9784954614449576,0.95710758250627,0.9408610206201516,0.9244349387131922,0.7272727272727273,3.120305876896185,0.0303030303030303
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907408072005416,0.9814815473201628,0.9767867113244776,0.9720475844231729,0.8181818181818182,2.888120835221818,0.0363636363636363
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9906103979507198,0.9812207259322296,0.9764588208371382,0.9716513472722372,0.8235294117647058,2.899435691826718,0.0303030303030303
pegasus,0.9433962264150944,1.0,0.8928571428571429,0.9411764705882352,1.0,0.8888888888888888,0.9433962264150944,1.0,0.8928571428571429,0.8403699701308979,0.8219677080112432,0.8094740153466737,0.7967952309389255,0.6451612903225806,3.490342957461841,0.0388888888888888
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9840852192523116,0.9682128770063066,0.9574883214346817,0.9466471946068432,0.7241379310344828,3.050741315609528,0.039787798408488
pegasus,0.9565217391304348,1.0,0.9166666666666666,0.9545454545454544,1.0,0.9130434782608696,0.9565217391304348,1.0,0.9166666666666666,0.906112734834199,0.8804074090232996,0.860807098092489,0.8409247682993645,0.5714285714285714,3.617250785229937,0.0405643738977072
pegasus,0.6857142857142856,1.0,0.5217391304347826,0.6666666666666666,1.0,0.5,0.6857142857142856,1.0,0.5217391304347826,0.4860134467075965,0.4673206218342274,0.454454131986324,0.4412490503003179,0.3461538461538461,8.72913836372013,0.0416666666666666
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9736163268192644,0.9526783412962696,0.936776790128806,0.9207023960138696,0.7567567567567568,3.0685714304947185,0.0286650286650286
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986577384100838,0.9731545625484456,0.9663052460713688,0.9593614562635736,0.7692307692307693,2.965235695110689,0.0434782608695652
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993883811173602,0.987748725919444,0.9877106197998532,0.9876720373537672,0.8846153846153846,2.82084655592679,0.041005291005291
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9797986738537044,0.959665824390957,0.952769744919809,0.9457778865671174,0.7407407407407407,3.097002730371003,0.0408264440842359
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887430838991688,0.9775073670366782,0.9699456868668652,0.9623262839476644,0.8205128205128205,2.941581519209334,0.0269576379974326
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937694906233946,0.9875193680408576,0.9874798103029934,0.9874397486449016,0.875,2.8248677192604763,0.0498575498575498
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9791674280854542,0.9583340785517211,0.9475813820181817,0.9365949312121736,0.6842105263157895,3.10599257234172,0.0588235294117647
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9853303383768212,0.9706967194900368,0.9608196334420744,0.9508437765336324,0.7333333333333333,3.037731777517483,0.037037037037037
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9661049965255964,0.9316012466496822,0.9303233299876112,0.9289471120438426,0.5714285714285714,3.3201169227365472,0.1666666666666666
pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9863947691297535,0.9727893240383088,0.9658448781062172,0.958803307056194,0.7931034482758621,2.935632923626452,0.037087912087912
