model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,bleu1,bleu2,bleu3,bleu4,jaccard,perplexity,cosine_similarity
pegasus,0.0155292194523906,1.0,0.007825370675453,0.014723926380368,1.0,0.007416563658838,0.0155292194523906,1.0,0.007825370675453,2.4092276065714134e-59,2.4092276065714134e-59,2.4092276065714134e-59,2.4092276065714134e-59,0.0190677966101694,1.9355760420357222e+54,0.0066481994459833
pegasus,0.1744966442953019,1.0,0.0955882352941176,0.1689189189189189,1.0,0.092250922509225,0.1744966442953019,1.0,0.0955882352941176,2.2849823517448784e-05,2.2849823517448784e-05,2.2849823517448784e-05,2.2849823517448784e-05,0.1388888888888889,29143.873553539564,0.0131156919491327
pegasus,0.0448369565217391,1.0,0.0229325920778318,0.0435374149659863,1.0,0.0222531293463143,0.0448369565217391,1.0,0.0229325920778318,5.4483464648656985e-18,5.4483464648656985e-18,5.421507319718578e-18,5.394402440461088e-18,0.0456692913385826,1.4114721434779183e+19,0.0082609851169383
pegasus,0.5443037974683544,1.0,0.3739130434782609,0.5384615384615384,1.0,0.3684210526315789,0.5443037974683544,1.0,0.3739130434782609,0.208823671480292,0.208823671480292,0.208823671480292,0.208823671480292,0.4382022471910112,14.879731724872835,0.0129629629629629
pegasus,0.1479713603818615,1.0,0.0798969072164948,0.1438848920863309,1.0,0.0775193798449612,0.1479713603818615,1.0,0.0798969072164948,1.9900966331494e-05,1.9900966331494e-05,1.9900966331494e-05,1.9900966331494e-05,0.1339712918660287,157588.41352861485,0.0147813233631858
pegasus,0.3801652892561984,1.0,0.2346938775510204,0.375,1.0,0.2307692307692307,0.3801652892561984,1.0,0.2346938775510204,0.0229937649521504,0.0229937649521504,0.0229937649521504,0.0229937649521504,0.2773722627737226,78.54222385125314,0.0141666560984762
pegasus,0.0111953773925604,1.0,0.0056291992010168,0.0108381502890173,1.0,0.0054486015256084,0.0111953773925604,1.0,0.0056291992010168,4.489012740364483e-82,4.489012740364483e-82,4.489012740364483e-82,4.489012740364483e-82,0.0129611166500498,1.0836246441668766e+75,0.0099989623514745
pegasus,0.1224489795918367,1.0,0.0652173913043478,0.1194539249146757,1.0,0.0635208711433756,0.1224489795918367,1.0,0.0652173913043478,5.184215802427078e-07,5.184215802427078e-07,5.184215802427078e-07,5.184215802427078e-07,0.1107266435986159,10657966.320552794,0.0076041311996368
pegasus,0.0557029177718832,1.0,0.0286493860845839,0.0531914893617021,1.0,0.0273224043715847,0.0557029177718832,1.0,0.0286493860845839,1.6555264078034016e-13,1.6555264078034016e-13,1.6447762363241588e-13,1.63388553972754e-13,0.0473684210526315,5609050757753122.0,0.0163819661294439
pegasus,0.2537764350453172,1.0,0.1453287197231834,0.2492401215805471,1.0,0.1423611111111111,0.2537764350453172,1.0,0.1453287197231834,0.0020475504328514,0.0020475504328514,0.0020475504328514,0.0020475504328514,0.1925133689839572,818.3720591006391,0.0121225399059883
pegasus,0.0642434488588334,1.0,0.0331877729257641,0.0626587637595258,1.0,0.0323426573426573,0.0642434488588334,1.0,0.0331877729257641,1.48117201547349e-13,1.48117201547349e-13,1.48117201547349e-13,1.48117201547349e-13,0.0715667311411992,2890086915903.344,0.0092953527012888
pegasus,0.0212876427829698,1.0,0.0107583311466806,0.0207792207792207,1.0,0.0104986876640419,0.0212876427829698,1.0,0.0107583311466806,8.712043700577524e-40,8.712043700577524e-40,8.712043700577524e-40,8.678276089334976e-40,0.0228281547241597,3.024759850493077e+41,0.0075051270932246
pegasus,0.0273373428102788,1.0,0.0138580931263858,0.0262725779967159,1.0,0.0133111480865224,0.0273373428102788,1.0,0.0138580931263858,1.1448173418520397e-30,1.1448173418520397e-30,1.1448173418520397e-30,1.1448173418520397e-30,0.0339213025780189,6.837671229762744e+30,0.0134309859154929
pegasus,0.224390243902439,1.0,0.1263736263736263,0.2167487684729064,1.0,0.1215469613259668,0.224390243902439,1.0,0.1263736263736263,0.000469596677974,0.000469596677974,0.000469596677974,0.000469596677974,0.1666666666666666,2721.9148731751334,0.0133228840125391
pegasus,0.1904761904761905,1.0,0.1052631578947368,0.184931506849315,1.0,0.1018867924528302,0.1904761904761905,1.0,0.1052631578947368,0.0005577386292219,0.0005577386292219,0.0005577386292219,0.0005577386292219,0.160919540229885,11174.9346481966,0.0088943623426382
pegasus,0.2907488986784141,1.0,0.1701030927835051,0.2844444444444445,1.0,0.1658031088082901,0.2907488986784141,1.0,0.1701030927835051,0.0056496267208709,0.0056496267208709,0.0056496267208709,0.0056496267208709,0.2248062015503876,316.57993140287226,0.0239882707066141
pegasus,0.3219512195121952,1.0,0.191860465116279,0.3152709359605911,1.0,0.1871345029239766,0.3219512195121952,1.0,0.191860465116279,0.0074786310274031,0.0074786310274031,0.0074786310274031,0.0074786310274031,0.2396694214876033,184.70316076024525,0.0142215568862275
pegasus,0.0363636363636363,1.0,0.0185185185185185,0.0346083788706739,1.0,0.0176088971269694,0.0363636363636363,1.0,0.0185185185185185,1.2382442229734957e-23,1.2382442229734957e-23,1.2382442229734957e-23,1.2382442229734957e-23,0.0353817504655493,1.2099062304827847e+23,0.0125587958607714
pegasus,0.3139534883720931,1.0,0.1862068965517241,0.3058823529411764,1.0,0.1805555555555555,0.3139534883720931,1.0,0.1862068965517241,0.019671754996539,0.019671754996539,0.019671754996539,0.019671754996539,0.2232142857142857,185.34560589021956,0.0123456790123456
